state,lga,latitude,longitude,geonameid
Sokoto State,Dange-Shuni,12.84626,5.41777,8633493
Sokoto State,Gada,13.74739,5.65521,8632714
Sokoto State,Goronyo,13.39076,5.80049,8632716
Sokoto State,Gudu,13.43162,4.49535,8632710
Sokoto State,Gwadabawa,13.44757,5.3106,8632713
Sokoto State,Illela,13.69519,5.36123,9180446
Sokoto State,Isa,13.22201,6.33803,8632717
Sokoto State,Kebbe,11.93616,4.75328,8633497
Sokoto State,Kware,13.16982,5.28817,8632719
Sokoto State,Rabah,13.01326,5.71959,8632720
Sokoto State,Sabon Birni,13.4847,6.26409,8632715
Sokoto State,Shagari,12.55983,5.13013,8633495
Sokoto State,Silame,12.99239,4.81935,8632721
Sokoto State,Sokoto North,13.0656,5.26804,7701527
Sokoto State,Sokoto South,13.04012,5.25937,7701528
Sokoto State,Tambuwal,12.36609,4.84882,8633496
Sokoto State,Tangaza,13.49687,4.96286,8632712
Sokoto State,Tureta,12.48616,5.49432,8633494
Sokoto State,Wamako,13.03992,5.11946,7873921
Sokoto State,Wurno,13.25681,5.48649,8632718
Sokoto State,Yabo,12.78914,4.94955,7873920
Taraba State,Ardo-Kola,8.80359,11.16707,8659776
Taraba State,Bali,8.15541,10.96853,8659779
Taraba State,Donga,7.59094,10.2133,8659781
Taraba State,Gashaka,7.49945,11.38896,8659786
Taraba State,Gassol,8.47269,10.5442,8659778
Taraba State,Ibi,8.35088,9.88731,8659777
Taraba State,Jalingo,8.9195,11.32642,8659775
Taraba State,Karim Lamido,9.22208,10.86536,8659771
Taraba State,Kurmi,7.28534,10.58702,8659784
Taraba State,Lau,9.18704,11.42011,8659772
Taraba State,Sardauna,6.87463,11.21184,8659785
Taraba State,Takum,7.41158,10.04478,8659782
Taraba State,Ussa,7.0868,10.03811,8659783
Taraba State,Wukari,7.96327,9.84767,8659780
Taraba State,Yorro,8.9087,11.48434,8659774
Taraba State,Zing,8.88339,11.74517,8659773
Yobe State,Barde,12.71613,10.64338,8659866
Yobe State,Borsari,12.69929,11.42578,7730050
Yobe State,Bursari Local Government Area,12.71578,11.41272,9485484
Yobe State,Damaturu,11.78032,11.97864,8659870
Yobe State,Fika,11.377,11.23746,8659874
Yobe State,Fune,11.85212,11.44862,8659871
Yobe State,Geidam,12.65454,12.06733,8659867
Yobe State,Gujba,11.38333,11.96667,7730053
Yobe State,Gulani,11,11.71667,7730056
Yobe State,Jakusko,12.45605,10.91226,8659868
Yobe State,Karasuwa,12.96284,10.78345,8659865
Yobe State,Machina,13.04519,9.98526,8659861
Yobe State,Nangere,11.82044,10.97139,8659872
Yobe State,Nguru,12.97973,10.39914,8659862
Yobe State,Potiskum,11.71064,11.15721,8659873
Yobe State,Tarmua,12.17837,11.80232,8659869
Yobe State,Yunusari,13.10432,11.78648,8659864
Yobe State,Yusufari,13.22046,10.8827,8659863
Zamfara State,Anka,11.96079,5.98663,8633546
Zamfara State,Bakura,12.61663,5.85789,8633503
Zamfara State,Birnin Magaji-Kiyaw,12.42527,6.89122,8633502
Zamfara State,Bukkuyum,11.97471,5.58651,8633506
Zamfara State,Bungudu,12.18868,6.48937,8633547
Zamfara State,Gummi,12.05409,5.1136,7873916
Zamfara State,Gusau,11.87555,6.61984,8633548
Zamfara State,Kaura Namoda,12.56195,6.57617,8633501
Zamfara State,Maradun,12.77787,6.24496,8633499
Zamfara State,Maru,11.53807,6.27888,8633505
Zamfara State,Shinkafi,13.03762,6.51199,8633498
Zamfara State,Talata Mafara,12.38352,6.05447,8633504
Zamfara State,Tsafe,11.88251,6.8947,8633549
Zamfara State,Zurmi,12.81147,6.7938,8633500
